Duration, Base Frequency
1.0, 1
0.99, 100
0.98, 50
0.97, 100
0.96, 25
0.95, 20
0.94, 50
0.93, 100
0.92, 25
0.91, 100
0.9, 10
0.89, 100
0.88, 25
0.87, 100
0.86, 50
0.85, 20
0.84, 25
0.83, 100
0.82, 50
0.81, 100
0.8, 5
0.79, 100
0.78, 50
0.77, 100
0.76, 25
0.75, 4
0.74, 50
0.73, 100
0.72, 25
0.71, 100
0.7, 10
0.69, 100
0.68, 25
0.67, 100
0.66, 50
0.65, 20
0.64, 25
0.63, 100
0.62, 50
0.61, 100
0.6, 5
0.59, 100
0.58, 50
0.57, 100
0.56, 25
0.55, 20
0.54, 50
0.53, 100
0.52, 25
0.51, 100
0.5, 2
0.49, 100
0.48, 25
0.47, 100
0.46, 50
0.45, 20
0.44, 25
0.43, 100
0.42, 50
0.41, 100
0.4, 5
0.39, 100
0.38, 50
0.37, 100
0.36, 25
0.35, 20
0.34, 50
0.33, 100
0.32, 25
0.31, 100
0.3, 10
0.29, 100
0.28, 25
0.27, 100
0.26, 50
0.25, 4
0.24, 25
0.23, 100
0.22, 50
0.21, 100
0.2, 5
0.19, 100
0.18, 50
0.17, 100
0.16, 25
0.15, 20
0.14, 50
0.13, 100
0.12, 25
0.11, 100
0.1, 10
0.09, 100
0.08, 25
0.07, 100
0.06, 50
0.05, 20
0.049, 449
0.048, 125
0.047, 383
0.046, 413
0.045, 200
0.044, 250
0.043, 628
0.042, 381
0.041, 439
0.04, 25
0.039, 282
0.038, 421
0.037, 838
0.036, 250
0.035, 200
0.034, 353
0.033, 303
0.032, 125
0.031, 129
0.03, 100
0.029, 655
0.028, 250
0.027, 778
0.026, 423
0.025, 40
0.024, 125
0.023, 652
0.022, 409
0.021, 381
0.02, 50
0.019, 421
0.018, 389
0.017, 294
0.016, 125
0.015, 200
0.014, 357
0.013, 692
0.012, 250
0.011, 636
0.01, 100
0.009, 556
0.008, 125
0.007, 143
0.006, 333
0.005, 200
0.004, 250
0.003, 333
0.002, 498
0.001, 992